iter	Passed	Remaining
0	0	979
1	1	882
2	2	862
3	3	820
4	4	799
5	4	783
6	5	786
7	6	786
8	7	795
9	7	787
10	8	775
11	9	767
12	10	770
13	10	766
14	11	758
15	12	753
16	12	747
17	13	743
18	14	740
19	14	734
20	15	732
21	16	730
22	17	729
23	17	729
24	18	733
25	19	736
26	20	735
27	21	730
28	21	729
29	22	725
30	23	723
31	23	721
32	24	720
33	25	719
34	26	720
35	26	718
36	27	720
37	28	719
38	29	717
39	29	715
40	30	713
41	31	712
42	31	711
43	32	709
44	33	708
45	34	706
46	34	705
47	35	707
48	36	711
49	37	712
50	38	711
51	39	712
52	39	711
53	40	710
54	41	707
55	41	705
56	42	705
57	43	705
58	44	703
59	44	701
60	45	700
61	46	700
62	47	699
63	47	698
64	48	698
65	49	699
66	50	703
67	51	704
68	52	702
69	52	701
70	53	702
71	54	705
72	55	705
73	56	703
74	56	702
75	57	701
76	58	700
77	59	698
78	59	697
79	60	696
80	61	696
81	62	696
82	62	695
83	63	694
84	64	696
85	65	695
86	66	694
87	66	693
88	67	692
89	68	695
90	69	694
91	70	694
92	71	693
93	71	692
94	72	692
95	73	691
96	74	690
97	74	689
98	75	688
99	76	687
100	77	686
101	77	685
102	78	684
103	79	689
104	80	689
105	81	688
106	82	687
107	83	686
108	83	685
109	84	684
110	85	683
111	85	681
112	86	680
113	87	679
114	88	678
115	88	677
116	89	675
117	90	675
118	91	674
119	91	671
120	92	670
121	93	669
122	93	668
123	94	668
124	95	668
125	96	667
126	96	666
127	97	665
128	98	664
129	99	664
130	100	663
131	100	662
132	101	661
133	102	659
134	102	658
135	103	656
136	103	654
137	104	653
138	105	653
139	106	652
140	106	650
141	107	649
142	108	648
143	108	647
144	109	646
145	111	649
146	111	649
147	112	648
148	113	647
149	114	646
150	114	645
151	115	644
152	116	643
153	116	642
154	117	641
155	118	639
156	118	638
157	119	637
158	120	636
159	121	635
160	121	634
161	122	634
162	123	633
163	124	632
164	124	631
165	126	633
166	126	633
167	127	632
168	128	631
169	129	630
170	129	629
171	130	628
172	131	627
173	132	626
174	132	625
175	133	625
176	134	624
177	135	624
178	135	622
179	136	622
180	137	621
181	138	620
182	138	619
183	139	616
184	139	616
185	140	616
186	141	616
187	142	616
188	143	615
189	144	615
190	145	614
191	145	613
192	146	612
193	147	611
194	148	611
195	148	610
196	149	609
197	150	608
198	151	607
199	151	606
200	152	605
201	152	604
202	153	602
203	154	601
204	154	600
205	155	600
206	156	599
207	157	599
208	158	599
209	159	598
210	159	597
211	160	597
212	161	597
213	162	597
214	163	596
215	163	595
216	164	593
217	165	592
218	165	591
219	166	590
220	167	589
221	168	588
222	168	587
223	169	587
224	170	586
225	171	585
226	171	585
227	172	584
228	173	583
229	174	582
230	174	581
231	175	580
232	176	579
233	176	579
234	177	578
235	178	577
236	178	576
237	179	575
238	180	573
239	180	573
240	181	572
241	182	571
242	182	569
243	183	569
244	184	568
245	185	567
246	185	566
247	186	566
248	187	565
249	188	564
250	188	563
251	189	562
252	190	561
253	191	561
254	191	560
255	192	559
256	193	558
257	193	557
258	194	556
259	195	555
260	195	554
261	196	553
262	197	553
263	197	551
264	198	550
265	199	550
266	200	549
267	200	548
268	201	547
269	201	546
270	202	545
271	203	544
272	204	543
273	204	542
274	205	541
275	205	540
276	206	539
277	207	538
278	207	537
279	208	536
280	209	535
281	209	534
282	210	533
283	211	532
284	211	531
285	212	530
286	213	529
287	213	528
288	214	527
289	215	526
290	215	525
291	216	524
292	217	524
293	217	523
294	218	522
295	219	521
296	219	520
297	220	519
298	221	518
299	221	517
300	222	516
301	223	515
302	223	515
303	224	514
304	225	513
305	225	512
306	226	511
307	227	510
308	227	509
309	228	508
310	229	507
311	229	506
312	230	505
313	231	505
314	232	504
315	232	503
316	233	502
317	234	502
318	234	501
319	235	500
320	236	500
321	237	499
322	237	498
323	238	497
324	239	497
325	240	496
326	240	495
327	241	494
328	242	493
329	242	493
330	243	492
331	244	491
332	244	490
333	245	489
334	246	488
335	246	487
336	247	486
337	247	485
338	248	484
339	249	484
340	250	483
341	250	482
342	251	481
343	252	481
344	253	480
345	253	479
346	254	478
347	255	478
348	255	477
349	256	476
350	257	475
351	258	475
352	258	474
353	259	473
354	260	472
355	260	472
356	261	471
357	262	470
358	262	469
359	263	468
360	264	468
361	265	467
362	265	466
363	266	465
364	267	464
365	268	464
366	268	463
367	269	462
368	270	462
369	270	461
370	271	460
371	272	460
372	273	459
373	273	458
374	274	457
375	275	457
376	276	456
377	276	455
378	277	454
379	278	453
380	278	452
381	279	452
382	280	451
383	281	450
384	281	450
385	282	449
386	283	448
387	284	448
388	284	447
389	285	446
390	286	445
391	286	444
392	287	444
393	288	443
394	288	442
395	289	441
396	290	440
397	290	439
398	291	438
399	291	437
400	292	437
401	293	436
402	293	435
403	294	434
404	295	434
405	296	433
406	297	432
407	297	432
408	298	431
409	299	430
410	300	430
411	300	429
412	301	428
413	302	427
414	302	427
415	303	426
416	304	425
417	304	424
418	305	423
419	306	422
420	306	422
421	307	421
422	308	420
423	309	419
424	309	418
425	310	418
426	311	417
427	311	416
428	312	416
429	313	415
430	313	414
431	314	413
432	315	413
433	316	412
434	316	411
435	317	410
436	318	410
437	319	409
438	319	408
439	320	408
440	321	407
441	322	406
442	322	405
443	323	405
444	324	404
445	324	403
446	325	402
447	326	402
448	327	401
449	328	400
450	328	400
451	329	399
452	330	398
453	330	397
454	331	397
455	332	396
456	332	395
457	333	394
458	334	393
459	334	393
460	335	392
461	336	391
462	336	390
463	337	389
464	338	389
465	339	388
466	339	387
467	340	387
468	341	386
469	342	385
470	342	384
471	343	384
472	344	383
473	344	382
474	345	381
475	346	381
476	346	380
477	347	379
478	348	378
479	348	378
480	349	377
481	350	376
482	351	375
483	351	374
484	352	374
485	352	373
486	353	372
487	354	371
488	354	370
489	355	369
490	356	369
491	356	368
492	357	367
493	358	367
494	359	366
495	359	365
496	360	364
497	361	363
498	361	363
499	362	362
500	363	361
501	363	360
502	364	360
503	365	359
504	365	358
505	366	357
506	367	357
507	367	356
508	368	355
509	369	354
510	370	354
511	370	353
512	371	352
513	372	352
514	373	351
515	374	350
516	374	350
517	375	349
518	376	348
519	377	348
520	377	347
521	378	346
522	379	345
523	379	345
524	380	344
525	381	343
526	382	342
527	382	342
528	383	341
529	384	340
530	385	340
531	385	339
532	386	338
533	387	337
534	387	337
535	389	336
536	389	336
537	390	335
538	391	334
539	392	334
540	392	333
541	393	332
542	394	331
543	394	330
544	395	330
545	396	329
546	396	328
547	397	327
548	398	327
549	398	326
550	399	325
